competency_id,competency_name,competency_type,description
SKLAC24,Regulatory Environment,Skill,Keeps abreast with national and international regulatory developments. Implements any changes within the organization to ensure ongoing compliance.
SKLAC25,Risk Exposure Calculation,Skill,Quantifies the loss potential of a business by multiplying the probability of an incident occurring by its potential losses.
SKLAVI01,Aviation Services,Skill,Provides services that pertain to the manufacturing and operating of all types of aircraft.
SKLAC26,Sarbanes-Oxley Compliance,Skill,Ensures compliance with the Sarbanes-Oxley Act (SOX). Implements policies and procedures to prevent accounting errors and fraudulent practices within the organization.
SKLAC28,Corporate Investigations,Skill,"Carries out a systematic inquiry to discover the facts of an incident, allegation, etc., to draw objective conclusions. Ensures due process is followed and that all supporting documentation or evidence is collected, examined, and stored."
SKLAC30,Risk Assurance,Skill,Assesses processes and procedures to test and validate that the internal controls within the organization's risk frameworks do mitigate risk.
SKLAC32,Regulatory Reporting,Skill,"Gathers, analyzes, records, and submits data to a relevant authority to demonstrate that the organization or business area is compliant with the necessary regulatory requirements."
SKLAVI08,Aviation Law,Skill,"Understands all legislation and regulations affecting aircraft and airport operations (e.g., aircraft navigation and maintenance, air traffic control safety, and pilot licensing requirements)."
SKLAGR01,Agricultural Deoxyribonucleic Acid (DNA) Technologies,Skill,Understands agricultural applications of deoxyribonucleic acid (DNA) technologies. Introduces and utilizes technologies in plant production in developing countries.
SKLAGR02,Agricultural Science,Skill,"Applies research to solve real problems associated with agricultural product development throughout the world. Works with others in food, fiber, and animal research, production, and processing. Assists with the development, breeding, and nutrition in this field."
SKLAGR03,Hydrogeology,Skill,"Studies the movement, distribution, and management of groundwater in the soil and rocks of the Earth's crust."
SKLAGR04,Plant Breeding,Skill,"Maximizes plants' positive genetic traits to produce desirable effects. Continues to open new frontiers in agricultural production. Works towards the advancements in plant genetics and genomics. Uses growing methods to help support higher production and the cultivation of crops resistant to pests, pathogens, and drought, especially in developing countries with arid or challenging terrain."
SKLAGR05,Ecology,Skill,"Studies the relationship between living organisms, including humans, and their physical environment. Seeks to understand the vital connections between plants and animals and the world around them."
SKLAGR06,Forestry,Skill,"Creates, manages, uses, conserves, and repairs forests, woodlands, and associated resources for human and environmental benefits."
SKLAVI02,Flight Operations,Skill,"Ensures safe and efficient daily planning of flights. Coordinates technical and operational factors (e.g., the weather, overflight permits, route planning, aircraft performance, airport facilities, the aircraft's technical condition, and fuel requirements)."
SKLAVI03,Aviation Maintenance,Skill,"Ensures all aircraft are maintained, safe, operational, and their asset value maximized. Conducts all preventative and corrective work promptly."
SKLAVI04,Aviation Safety and Security,Skill,"Complies with all aviation safety and security policies and procedures to prevent malicious acts (e.g., terrorism). Also protects against accidents, errors, and unintentional defects."
SKLAVI05,Civil Aviation Regulations,Skill,"Complies with all regulations on controlling civil air traffic including; on the ground (e.g., airports), in the air (e.g., air space and air traffic), as well as technical and safety requirements."
SKLAVI06,Inspections,Skill,Conducts a careful and thorough assessment to ensure everything is correct and legal.
SKLAVI07,Trip Scheduling,Skill,Coordinates trips and routes to ensure schedules and stops never overlap and time is efficiently utilized. Uses scheduling software if required. Distributes necessary plans and any necessary documentation for required personnel.
SKLAVI09,Flight Planning,Skill,Plans for a proposed aircraft flight which includes fuel calculation (to ensure that the aircraft can safely reach the destination) and compliance with air traffic control requirements (to minimize the risk of midair collision).
SKLAVI17,Aircraft Inspection,Skill,"Plans for preventative maintenance by either cabin crew or technicians, including annual inspections, 50/100-hour inspections, pre-flight checks, progressive inspections, and unscheduled aircraft inspections."
SKLAVI10,Spatial Orientation,Skill,"Understands the risks involved in the misinterpretation of aircraft attitude, altitude, or airspace and continuously refreshes one's understanding of the risks associated with spatial orientation."
SKLAVI11,Knowledge of Aircraft Systems,Skill,"Understands aircraft systems, structures, functional tests, and calibrated aircraft test equipment to conduct aircraft systems troubleshooting and defects rectification."
SKLAVI12,Crew Management,Skill,"Manages flight and crew scheduling, fleet assignment, and aircraft routing, including planning for irregular operations and challenges (e.g., crew recovery)."
SKLAVI13,Communication Systems (ACARS),Skill,"Uses the digital data link system for the transmission of messages between aircraft and ground stations, e.g., Air Traffic Control (ATC), Aeronautical Operational Control (AOC), and Airline Administrative Control (AAC)."
SKLAVI14,Aviation Meteorology,Skill,"Studies current and forecasted weather conditions for all altitudes, including the direction and speed of the wind, cloud cover, and precipitation. Highlights the risk involved in adverse weather conditions."
SKLAVI15,Airline and Airport Management,Skill,Devises strategies and initiatives to gather and provide information on airline commercial and operational priorities and the administration of airports and airlines.
SKLAVI18,Air Traffic Control,Skill,Conveys clear messages to prevent collisions between aircraft or with obstructions in the maneuvering area. Expedites and maintains an orderly flow of air traffic.
SKLBC01,Assembly,Skill,"Performs assemblies, subassemblies and related tasks that may include material procurement, process development, manufacturing, and testing."
SKLBC02,Landscaping,Skill,"Alters the existing design, adds ornamental features, and plants trees and shrubs in order to make a garden or other piece of land more attractive."
SKLBC03,Machine Operation,Skill,Understands and uses a particular class or kind of industrial machine.
SKLBC04,Machining,Skill,"Abrades, cuts, drills, forms, grinds, and/or shapes pieces of metal or other material using machine tools (e.g., lathes, power saws, and presses)."
SKLBC05,Manual Dexterity,Skill,"Uses hands in a skillful, coordinated way to grasp and manipulate objects and demonstrate small, precise movements."
SKLBC06,Mechanical Aptitude,Skill,Understands and uses tools and machines.
SKLBC07,Milling,Skill,"Grinds, cuts, presses, or crushes material in a milling machine."
SKLBC08,Mining,Skill,Extracts valuable minerals or geological materials from the Earth.
SKLBC09,Package Processing Equipment,Skill,"Installs, operates, and maintains machinery, apparatus, and utensils used in the packaging process."
SKLBC10,Pipefitting,Skill,"Attaches pipes to walls, structures, and fixtures (e.g., radiators or tanks) using brackets, clamps, tools, or welding equipment."
SKLBC11,Plumbing,Skill,"Installs and maintains systems of pipes and other apparatus required for the water supply, heating, and sanitation in a building."
SKLBC12,Predictive Machine Analytics,Skill,"Uses data, statistical algorithms, and machine learning techniques to identify and predict the future performance of machines based on historical data. Uses this information to provide a best assessment of what will happen in the future."
TT000051,Chrome,Skill,Uses this tool/technology effectively during the delivery of day-to-day tasks.
SKLBC13,Recycling,Skill,"Collects used material, breaks it down, and reuses material that would usually have been thrown away."
SKLBC14,Textile Manufacturing,Skill,"Designs, produces, and distributes textiles, yarn, cloth, and clothing from natural and synthetic materials."
SKLBC15,Tree Surgery,Skill,Prunes or treats old or damaged trees in order to preserve them.
SKLBC16,Turning,Skill,Removes metal that is outside the workpiece's diameter using a cutting tool.
SKLBC17,Waste Disposal,Skill,"Removes and destroys or stores damaged, used, or other unwanted domestic, agricultural, or industrial products, and substances. Disposes either through burning, burial at landfill sites, or sea, and recycling."
SKLBC18,Welding,Skill,Fuses metal or thermoplastic materials.
SKLBC19,Zero Failure Testing,Skill,Conducts testing to establish a minimum reliability for an assembly or one of its components. Demonstrates the corresponding confidence one has in this test.
SKLBC21,Computerized Equipment Skills,Skill,Utilizes computer technology like numeric controls or Computer Numerical Controls (CNCs) to track the production quantity and run time of the equipment.
SKLBC22,Drilling,Skill,Creates holes in metal using circular cylinders. Uses machinery to make circular holes in the ground to find water or oil.
SKLBC23,Driving,Skill,Controls and steers the movement of a vehicle.
SKLBC24,Electrics,Skill,Installs and maintains systems of electrical wiring and parts in buildings.
SKLBC31,Installation,Skill,"Installs equipment, machines, wiring, or programs to meet specifications."
SKLBC25,Fabrication Technology,Skill,"Uses fabrication technology to build a metal structure by cutting, machining, welding, assembling, and stamping."
SKLBC26,Fitting and Turning,Skill,"Manufactures, contracts, assembles, and fits components for machinery. Works with metal and repairs parts."
SKLBC27,Forklift Operations,Skill,"Operates and manages industrial trucks to load and unload materials. Makes deliveries and moves materials to and from storage areas, machines, and loading docks into cars, trucks, or storage facilities."
SKLBC28,Grinding,Skill,Removes the remaining unwanted materials from the surface of a product to improve the finish of the surface and tighten up the tolerance.
SKLBC29,Human-Centered Manufacturing,Skill,"Combines the strength, speed, repeatability, and precision of automation with the intelligence, flexibility, and skill of human operators. Obtains hybrid systems with the highest potential in terms of production process and human well-being."
SKLBC30,HVAC,Skill,"Installs and maintains heating, ventilation, and air conditioning equipment to provide heating and cooling to buildings."
SKLBC32,Inventory Control,Skill,"Keeps the right number of parts and products in stock to avoid shortages, overstock, and other costly problems."
SKLBC33,Inventory Management,Skill,"Uses a systematic approach to source, store, and sell inventory, whether it is raw materials or finished goods. Ensures the company has the right stock, at the right levels, in the right place, at the right time, and at the right cost, as well as price."
SKLBF01,Agile Core Banking Systems,Skill,Focuses on next-generation remote banking solutions that enable customer self-service and reduce unnecessary costs.
SKLBF02,Anti-Money Laundering (AML) Policy,Skill,Develops an Anti-Money Laundering (AML) policy to prevent and expose suspicious financial activity by criminals. Monitors compliance with this policy.
SKLBF03,Asset Management,Skill,"Develops, operates, maintains, and sells assets in a cost-effective manner."
SKLBF04,Banking and Financial Services Platforms,Skill,Processes daily banking and finance tasks using the organization's preferred banking and finance platform.
SKLBF05,Banking and Financial Services Trends,Skill,"Keeps abreast with trends, developments, and technologies within the field of banking and financial services, both locally and internationally. Understands the impact of these on the organization. Incorporates relevant trends to ensure the organization's relevancy and competitiveness."
SKLBF06,Banking as a Services (BaaS),Skill,Enables FinTech's and other third parties to connect with banks' systems via Application Programming Interface's (APIs) to build banking offerings on top of the providers' regulated infrastructure.
TT000020,CSS,Skill,Uses this tool/technology effectively during the delivery of day-to-day tasks.
SKLBF42,Value Thinking,Skill,"Develops personalized value analyses, based on how financial services integrate seamlessly with the client's lifestyles and devices."
SKLBF07,Banking Regulations & Compliance,Skill,Understands all local and international legislation governing the banking industry. Keeps abreast with any updates and amendments and ensures that policies and procedures are updated to ensure continued compliance by the bank.
SKLBF18,Fiduciary Duties,Skill,"Always acts in good faith and in the best interest of the organization and its clients. Exercises their power for a proper purpose, does not exceed their power, and maintains unfettered discretion. Always avoids conflict of interests."
SKLBF08,Branch Banking Operations,Skill,"Ensures the daily smooth running of services provided by the bank branch to its customers, including the stability of its banking system used."
SKLBF09,Commercial Loans,Skill,Evaluates a business customer's application for a commercial loan against a set criterion. Communicates the outcome of this evaluation to the customer.
SKLBF10,Connected Flow Model,Skill,"Improves the organization's Return-on-Equity (ROE) by shifting from an in-house service delivery model to a connected flow model that drives simplicity, agility, and customer centricity. Expands the capabilities of the organization with those of their partners ecosystem."
SKLBF107,Capital Markets,Skill,"Understands and applies knowledge of capital markets, a type of financial market, where the in-person and digital buying and selling of financial instruments, such as equities (e.g., stocks) and debt securities (e.g., bonds), is facilitated."
SKLBF108,Investment Performance Measurement,Skill,Analyzes investment performance over a specific period to provide investors with insights into the effectiveness of their financial commitments.
SKLBF109,Investment Portfolio Management,Skill,"Oversees a collection of investments in the form of securities, bonds, cash, shares, mutual funds, cryptocurrencies, etc., within a specific timeframe. Helps investors achieve their long-term financial goals with minimum risk and maximum return."
SKLBF11,Consumer Loans,Skill,Evaluates an individual customer's application for a loan product against a set criterion. Communicates the outcome of this evaluation to the customer.
SKLBF12,Credit Deal Execution,Skill,"Provides the most beneficial credit deal execution to the customer given the prevailing market environment, through examining, tracking, and documenting when choosing how to route credit deals."
SKLBF122,Risk-Reward Ratio,Skill,Uses the risk-reward ratio to compare the potential profit or return of an investment with the amount of risk that must be taken to earn the return.
SKLBF40,Unified Payments Interface (UPI),Skill,Develops a unified payments interface (UPI) to allow bank customers to make mobile or online transfers instantly between two banks.
SKLBF19,Financial Advising,Skill,Considers the financial requirements of clients and provides sound financial advice.
SKLBF13,Customer Due Diligence (CDD),Skill,Collects relevant information about new customers and evaluates their risk category. Vets the customer for creditworthiness and ensures they are not on any money laundering or counterterrorism financing watchlists.
SKLBF14,Customer Onboarding,Skill,"Creates a process of registration for customers who open new accounts or apply for other services. Requests information from them, to know who they are. Ensures this process is as simple and smooth as possible."
SKLBF15,Differential Insights,Skill,Captures and stores insightful data arising from market activity in a usable manner. Integrates data with external data. Applies ever-evolving data science techniques to generate actionable insight.
SKLBF16,Dilution Analysis,Skill,"Evaluates the merit of a proposed merger or acquisition deal by means of estimating Pro-forma net income, to establish Pro-forma earnings per share (EPS)."
SKLBF17,Enhanced Due Diligence,Skill,"Follows an additional process to Customer Due Diligence (CDD) for high-risk or high-net-worth customers and large transactions. Gathers significant evidence and detailed information, and documents the process in detail to support the decision made."
SKLBIO08,Gel Electrophoresis,Skill,"Separates biological macromolecules (e.g., proteins or nucleic acids) according to their electrophoretic mobility."
SKLBF20,Financial Technology (FinTech),Skill,"Identifies and partners with suitable Financial Technology (FinTech) companies for them to provide marketing, administration, loan servicing, or other services, enabling the bank to offer tech-enabled banking products."
SKLBF21,Foreign Currency Credit Management,Skill,Implements strategies to limit the organization's exposure to foreign exchange fluctuations and to maximize the return on their foreign market operations.
SKLBF22,Global Return on Tangible Equity (ROTE),Skill,"Calculates the global return on tangible equity (ROTE) to determine the organization's efficiency. Generates profits from every unit of shareholders' tangible equity to establish how well the organization uses investment funds, to generate earnings growth."
SKLBF23,Insurance Management,Skill,Packages well-designed insurance solutions to protect clients against unforeseen events. Enhances investment efficiency and provides significant estate planning benefits.
SKLBF24,Invisible Banking,Skill,"Builds invisible banking platforms to allow consumers to interact with their personal digital assistant (e.g., Siri or Alexa) who proactively perform daily personal and financial tasks, informed by insights gathered from structured and unstructured data."
SKLBF30,Networked Data,Skill,"Extract, clean, and integrate network data from a variety of sources to develop and deliver personalized customer products."
SKLBF25,Know Your Customer (KYC) Policy,Skill,Develops a know your customer (KYC) policy that incorporates the four key elements 1) customer acceptance policy 2) customer identification procedures 3) on-going due diligence and 4) risk management. Monitors compliance with this policy.
SKLBF26,Location Based Authorization,Skill,Uses location information to strengthen access control mechanisms by adding features for defining and enforcing location-based authorization.
SKLBF27,Mergers and Acquisitions,Skill,Establishes the fairest value for both seller and buyer in a merger and acquisition transaction by means of a thorough valuation of the company and examination of the market.
SKLBF28,Mobile and Online Banking,Skill,"Conceptualizes the organization's mobile and online banking platforms for day-to-day transactions of customers. Includes trending features (e.g., the ability to put temporary holds on cards, view recurring charges, or scanning a fingerprint to log into an account)."
SKLBF29,Multichannel Delivery,Skill,"Implements a device-agnostic strategy that makes information accessible to all users, strives to make cross-channel interactions seamless, and simplifies the customer experience."
SKLBF31,Open Banking,Skill,Manages all situations in which the bank opens its application programming interface's (APIs) to third parties and gives those players access to data or functionality.
SKLBF33,Remote Banking,Skill,Designs remote banking solutions that drive increased customer experience and distinguishes the bank from immediate competitors.
SKLBF34,Sales and Trading,Skill,"Buying and selling securities on behalf of an investment firm or clients, through effective management of capital, risk, and security analyses."
SKLBF47,Investment Advisory,Skill,"Advises high-net-worth individuals on their investments and manages their portfolios. Has a fiduciary duty always, to provide investment advice that is in the client's best interest."
SKLBF35,Securities Services,Skill,"Supports customers with their securities portfolios. Securities services include clearing and settlement, and processing dividends or tax claims."
SKLBF66,Claim Management,Skill,Oversees the processing of all claims. Provides support to team processing claims. Ensures team complies with related policies and procedures.
SKLBF59,Credit Monitoring,Skill,Monitors changes in credit scores and credit reports. Flags these changes for the client so they remain informed of their credit status.
SKLBF36,Simplified Operating Models,Skill,"Designs simplified operating models that lead to better service, lower costs, and increased profitability by means of simplifying technology, processes, and back office operations."
SKLBF37,Transaction Banking,Skill,"Offers specialized bank treasury services and product offerings that include cross-border payments, risk mitigation, cash management services, and trade finance deals. Focuses on strengthening the liability side of the balance sheet of a bank, through facilitating core transactional requirements of clients within the financial system."
SKLBF38,Transaction Monitoring,Skill,"Conducts transaction monitoring and behavioral analyses through the effective use of business intelligence (BI) and data analytics to improve better decision-making, fraud prevention, consumerization, and compliance-related BI growth."
SKLBF39,Underwriting,Skill,"Assess the degree of risk of the insurer's business and strives to set fair borrowing rates for loans, establishes appropriate premiums, and creates a market for securities by accurately pricing investment risk."
SKLBF60,Financial Management,Skill,"Ensures the financial health of an organization by planning, organizing, directing, and controlling the financial activities and resources of the organization. Ensures compliance with all relevant legislation and regulations."
SKLBF41,Valuation Models,Skill,"Calculates several different types of analyses, including discounted cash flow (DCF) analysis, comparable trading multiples, precedent transactions, and ratios such as vertical and horizontal analysis for investment purposes, i.e., issued share price, business selling price, company acquired worth or evaluating other investment opportunities."
SKLBF43,Wealth Management,Skill,Provides investment advisory services that combine other financial services to address the needs of affluent clients. Coordinates all the services needed to manage high-net-worth clients' money to plan for their own or their family's current and future needs.
SKLBF44,Automated Accounting,Skill,"Automates accounting processes that are time-consuming and repetitive (e.g., collecting and processing financial data)."
SKLBF45,Consumer Banking,Skill,"Personalizes the institution's services, including savings, checking accounts, credit and debit cards, and loans."
SKLBF46,Credit Analysis,Skill,"Performs analysis on a company, government, municipality, individual, or any other debt-issuing entity, to measure the issuers' ability to meet its debt obligations."
TT000022,Unix,Skill,Uses this tool/technology effectively during the delivery of day-to-day tasks.
SKLBF48,Product Advisory Board,Skill,Engages a group of knowledgeable representatives on how things happen in the environment in which the organization operates. Gathers feedback that in turn shapes product development strategies.
SKLBF49,Digital Health and Wellness Products,Skill,Introduces and manages digital health and wellness products and services as part of medical and life cover strategies or policies.
SKLBF50,Green Incentives,Skill,"Devises strategies to incentivize customers who show a commitment to green energy (e.g., electric cars)."
SKLBF51,Insurance Regulations and Compliance,Skill,Understands all local and international legislation governing the insurance industry. Keeps abreast with updates and amendments and ensures that policies and procedures are updated to ensure continued compliance by the organization.
SKLBF52,Insurance Trends,Skill,"Keeps abreast with local and international trends, developments, and technologies in the insurance field. Understands the impact of these on the organization. Incorporates relevant trends to ensure the organization's relevancy and competitiveness."
SKLBIO09,Gene Therapy,Skill,Replaces a missing or defective gene with a normal one to correct a disorder.
SKLBF53,Insurance Technology (InsureTech),Skill,"Identifies and leverages the latest insurance technologies (InsureTech) to reduce costs, improve operational efficiency, and the customer experience."
SKLBF54,Pay-as-you-go Insurance,Skill,Devises more flexible insurance coverage offerings to attract and keep customers who seek usage-based fees.
SKLBF55,Telematics,Skill,"Uses monitoring devices in cars to measure various indicators (e.g., speed, location, accidents, etc.). Processes this information to help determine policy premiums."
SKLBF56,Unmanned Drones,Skill,"Utilizes uncrewed drones to collect data, calculate risks before issuing a policy, aid in preventative maintenance, and assess damages after a loss."
SKLBF57,Loss Prevention Framework,Skill,Develops an all-round risk evaluation process by calculating maximum possible loss (MPL) and the normal loss expectancy (NLE) and including strategies for loss prevention.
SKLBF58,Corporate Banking,Skill,"Devises various banking solutions (e.g., credit, asset, cash management, and underwriting) to attract and keep corporate clients. Advises corporate clients on these banking solutions to help them meet their business objectives."
SKLBF61,Investment Management,Skill,"Devises a short and long-term strategy to manage and acquire the securities and assets of a client within their investment portfolio, to meet their financial goals."
SKLBF62,Mortgage Loan or Mortgage Products,Skill,Offers a variety of products to a client to finance their home or other real estate. Educates the client on the benefits and conditions of each of these options and helps them make a well-informed decision.
SKLBF63,Operational Risk,Skill,"Identifies potential operational inefficiencies (e.g., people, processes, or systems) that could result in a financial or reputational loss and puts strategies in place to minimize these risks."
SKLBF64,Private Banking,Skill,Advises high-net-worth individuals (HNWI) on the banking and financial solutions available to them to meet their objectives. Manages the relationship with assigned private banking clients to ensure that they are satisfied and retained.
TT000021,GPS,Skill,Uses this tool/technology effectively during the delivery of day-to-day tasks.
SKLBF65,Risk Management Framework,Skill,"Devises a risk management framework for the organization that covers risk identification, measurement, mitigation, reporting, and governance."
SKLBF67,Arrears Management,Skill,Provides support to customers in arrears. Structures and negotiates facilities with these customers.
SKLBF68,Repayment Strategy,Skill,"Negotiates and structures a plan for customers on how to repay outstanding capital and, where applicable, the interest accrued under the regulated loan contract."
SKLBF69,Asset and Liability Management,Skill,Manages the use of assets and cash flows to reduce the firm's risk of loss from not paying liabilities on time. Ensures that assets are available to pay debts as they are due and that the assets or earnings can be converted into cash.
SKLBF70,Financial Markets,Skill,"Studies, understands, and applies knowledge of markets where people trade financial securities and derivatives at low transaction costs."
SKLBF71,Insurance Credentialing,Skill,Handles the process of becoming affiliated with health insurance networks for inclusion in their provider panels. Manages this process to ensure health care providers can accept third party reimbursement.
SKLCA07,Branding,Skill,"Creates a name, symbol, or design that identifies and differentiates a company and its products or services. Ensures all communication is reflective of, and consistent with, the organization's brand identity."
SKLBF73,Investment Regulations & Compliance,Skill,Understands all local and international legislation governing the investment industry. Keeps abreast with updates and amendments and ensures that policies and procedures are updated to ensure continued compliance by the organization.
SKLBF76,Derivatives,Skill,"Manages contracts between two or more parties where the value is based on an agreed-upon underlying asset or set of assets which could include bonds, commodities, interest rates, currencies, market indexes and stocks."
SKLBF85,Liquidity Risk Management,Skill,"Understands the concept and sources of liquidity risk. Monitors, measures, and manages liquidity risk to ensure the organization can meet payment obligations and support its operations during times of disruption in the market."
SKLBIO11,Genome Editing,Skill,"Changes the deoxyribonucleic acid (DNA) of an organism that can lead to changes in physical traits (e.g., eye color and disease risk)."
SKLBF86,Trading Environment Knowledge,Skill,"Understands the trading environment, which involves all the external forces that influence the organization as it deals with international and local markets. External forces include political, legal, economic, technological, and cultural environments."
SKLBIO18,Tissue Culture,Skill,"Uses various techniques to grow small pieces of plant tissue (e.g., explants) under sterile conditions on a nutrient culture medium of known composition."
SKLBF89,Trade Execution,Skill,Submits a buy or sell trade order to the relevant market on behalf of an investor. Ensures that the buy or sell order gets executed.
SKLBF94,Indexing,Skill,"Compiles economic data into a single metric or benchmark using statistical tools and techniques. Applies this benchmark to track economic data such as inflation, unemployment, gross domestic product (GDP) growth, productivity, and market returns."
SKLBF97,Divestitures,Skill,"Aims to sell off various assets for financial, political, or ethical reasons and is likely to increase the value of the parent company."
SKLBIO01,Bioengineering,Skill,"Applies life sciences, physical sciences, mathematics, and engineering principles to define and solve problems in biology, medicine, health care, and other fields."
SKLBIO02,Bioscience,Skill,"Develops biological solutions to sustain, restore, and improve the quality of life for humans, plants, and animals."
TT000074,Malware,Skill,Uses this tool/technology effectively during the delivery of day-to-day tasks.
SKLBIO03,Cell and Gene Therapies,Skill,"Manipulates human cells and genomes, respectively, to create customized drugs."
SKLBIO04,Cloning,Skill,"Produces genetically similar molecules, cells, genes, microbes, plants, or organisms from a common parent by asexual reproduction in vitro or in vivo."
SKLBIO05,Cryopreservation,Skill,"Preserves organelles, cells, tissues, or other biological constructs by cooling the samples to very low temperatures."
SKLBIO06,Cybrid Production,Skill,Combines the cytoplasmic genes of one species with the nuclear and cytoplasmic genes of another species.
SKLBIO07,Deoxyribonucleic Acid (DNA) Transduction,Skill,Transfers deoxyribonucleic acid (DNA) from one organism to another through bacteriophage.
SKLBIO19,Transgenic (Genetically modified organisms),Skill,"Introduces one or more deoxyribonucleic acid (DNA) sequence from another species by artificial means, to modify an organism."
SKLBIO12,Mass Spectrometry (MS),Skill,"Ionizes chemical species and sorts the ions based on their mass-to-charge ratio. Provides a rapid and sensitive qualitative and quantitative analysis of biomolecules, drugs, and small molecule compounds, and metabolites."
SKLBIO13,Monoclonal Antibodies and Biosimilars,Skill,"Grows and designs antibodies in a laboratory to restore, enhance, or mimic an immune system response."
SKLBIO15,Protein Immunoblot / Western Blot,Skill,Detects and analyses proteins based on their ability to bind to specific antibodies. Uses this information to prove different properties of proteins from a complex mixture of proteins extracted from cells based on molecular weight. Transfers proteins to a solid supporting membrane.
SKLBIO16,Synthetic Biology,Skill,"Researches and creates new biological parts, devices, and systems or redesigns systems already found in nature."
SKLBIO17,Telepractice,Skill,"Provides online assessment, diagnosis, and treatment of patients."
SKLCA06,Audiovisual Media,Skill,Compiles electronic media that has both a sound and visual component.
SKLBIO21,Value-Based Pricing,Skill,Sets prices primarily based on a consumer's perceived value of a product or service.
SKLBIO22,Industrial Biotechnology,Skill,"Exploits enzymes, microorganisms, and plants to produce energy, industrial chemicals, and consumer goods. Focuses on developing biotechnological approaches that will yield green industrial processes that are cost-effective and sustainable."
TT000025,CVS,Skill,Uses this tool/technology effectively during the delivery of day-to-day tasks.
SKLBIO28,"Science, Technology, Engineering, and Math (STEM) Application",Skill,"Understands science, technology, engineering, and math (STEM) and the application thereof within the industry one is working in. Knows when and where to apply knowledge of the different areas and how to use it effectively."
SKLBIO45,Biomaterials,Skill,Develops a biological or synthetic substance that can be introduced into body tissue as part of medical devices or to replace an organ or bodily function.
SKLBIO49,Biofabrication,Skill,"Produces complex biologic products from materials (e.g., living cells, matrices, biomaterials, and molecules) by reconstructing the structural and functional complexity thereof."
TT000098,Oracle Erp,Skill,Uses this tool/technology effectively during the delivery of day-to-day tasks.
SKLBIO51,Bioethics,Skill,"Applies moral rules and professional codes of conduct to the collection, analysis, reporting, and publication of information when conducting medical and biological research. Ensures active acceptance of research subjects' right to privacy, confidentiality, and informed consent."
SKLCA01,Corporate Advising,Skill,Advises company representatives on what to say and how to say it when speaking with members of the media.
SKLCA02,Advocacy Communications,Skill,"Advocates for a particular action, position, or set of principles that the organization feels strongly about, with the aim to create or change policies, laws, regulations, distribution of resources, or other decisions made by the government."
SKLCA03,Alliance Development,Skill,Forms relationships that relate to anything that affects or enhances the organization's reputation and strategic effectiveness.
SKLCA04,Annual Report,Skill,Assists in the preparation of the organization's annual report. Substantiates and defends any findings in the report to investors.
SKLCA05,Audio Management,Skill,"Uses, records, and modifies audio content so that it is fit for purpose."
TT000132,Tribute,Skill,Uses this tool/technology effectively during the delivery of day-to-day tasks.
SKLCA08,Carbon Neutrality,Skill,"Uses renewable energy and carbon offsets to achieve carbon neutrality and adopts a ""zero waste"" approach to business."
SKLCA09,Community Relations,Skill,Establishes and maintains a mutually beneficial relationship with the community in which the organization operates. Strives to contribute positively to this community.
SKLCA10,Copywriting and Editing,Skill,Creates and edits content so that it is appealing and understandable or relatable to the intended audience.
SKLCA11,Corporate Affairs Management,Skill,Ensures that every business process considers the impact on stakeholders and the consequences for the business.
SKLCA12,Corporate Communications Measurement,Skill,"Tests messages across the various channels the organization uses to communicate and gauges the responses to these. Determines how effectively the organization's communications are connecting with its audiences and adjusts strategy, as necessary."
SKLCA13,Corporate Communications Strategy,Skill,"Develops a strategy that specifies how an organization communicates information with its employees, customers, suppliers, and investors. Ensures alignment to the goals of executives. Determines who the audiences are and the various channels the organization will use to reach these."
SKLCA14,Crisis Communication,Skill,Develops a plan to address unfavorable press coverage or misinformation about the organization. Proactively protects the organization's image and reputation.
SKLCA39,Applied Ethics,Skill,"Applies moral considerations in a practical setting. Focuses on real-world actions and their moral concerns in public and private life, the professions, health, technology, law, and leadership."
SKLCA15,Desktop Publishing Software,Skill,"Manages visual content, including page layout and design, in preparation for publication, using the most suited publishing software for the job. Uses this software to prepare and organize print magazines, newspapers, periodicals, and possibly also e-catalogs and online publications."
SKLCA16,Digital Corporate Communications,Skill,"Uses online platforms to communicate information about the organization to employees, current and potential customers, and other stakeholders."
SKLCA17,Digital Production,Skill,"Translates creative ideas and assets into an array of digital media, to ensure that the right messages are delivered via the right channel at the right time to the right consumer."
TT000133,Allscripts,Skill,Uses this tool/technology effectively during the delivery of day-to-day tasks.
SKLCA18,External Communication,Skill,"Organizes news conferences, product launches, and interviews, and creates materials (e.g., banners, flyers, etc.) for such events."
SKLCA19,Internal Communications,Skill,"Drafts emails and memos announcing company news and initiatives. Manages internal blogs, newsletters, or other publications. Pays careful attention to employee messaging."
SKLCA20,Internal Publications or Handbooks,Skill,"Compiles employee resources (e.g., information about employee benefits). Ensures these resources are updated as and when any of the information changes."
SKLCA21,Media Relations,Skill,Writes press materials and makes presentations to media representatives updating them on any useful information about the organization.
SKLCA22,Monitoring News Channels,Skill,"Monitors the news for mentions of the organization, it's product or service, and key members (e.g., stakeholders or leadership)."
SKLCA23,Printed Media,Skill,"Communicates with the target audience using print media (e.g., magazines, newspapers, brochures, flyers, newsletters, etc.)."
SKLCA24,Public Affairs,Skill,"Engages stakeholders to explain organizational policies and views on public policy issues, assisting policy makers and legislators in amending or laying down better policy and legislation."
